ID Departamento,Departamento,ID Categoria,Categoria,ID subcategoria,Subcategoria
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S72,EMBALAGENS,C737,Sacos e sacolas kraft
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S72,EMBALAGENS,C738,Sacos e sacolas plásticas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S73,ILUMINAÇÃO,C214,Outros objetos de iluminação
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S73,ILUMINAÇÃO,C756,Abajures e cúpulas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S73,ILUMINAÇÃO,C757,Cordões de luz
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S73,ILUMINAÇÃO,C758,Fitas de LED
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S73,ILUMINAÇÃO,C759,Kits de lâmpadas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S73,ILUMINAÇÃO,C760,Lâmpadas de LED
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S73,ILUMINAÇÃO,C761,Lâmpadas fluorescentes
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S73,ILUMINAÇÃO,C762,Lâmpadas halógenas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S73,ILUMINAÇÃO,C763,Lâmpadas incandescentes
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S73,ILUMINAÇÃO,C764,Lâmpadas inteligentes
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S73,ILUMINAÇÃO,C765,Luminárias
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S73,ILUMINAÇÃO,C766,Lustres e pendentes
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S73,ILUMINAÇÃO,C767,Outros tipos de lâmpadas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S73,ILUMINAÇÃO,C768,Painel de LED
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S73,ILUMINAÇÃO,C769,Refletores
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S73,ILUMINAÇÃO,C770,Soquetes para lâmpadas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S73,ILUMINAÇÃO,C771,Spots
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S74,QUÍMICOS INDUSTRIAIS,C782,Ácidos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S74,QUÍMICOS INDUSTRIAIS,C783,Gases
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S74,QUÍMICOS INDUSTRIAIS,C784,Metais químicos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S74,QUÍMICOS INDUSTRIAIS,C785,Químicos inorgânicos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S74,QUÍMICOS INDUSTRIAIS,C786,Químicos orgânicos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S74,QUÍMICOS INDUSTRIAIS,C787,Reagentes químicos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S74,QUÍMICOS INDUSTRIAIS,C788,Solventes
